"","driverId","constructorId","grid","position","laps","milliseconds","rank","fastestLapSpeed"
"14111",182,6,5,"3",59,"6223066","\N","\N"
"14112",200,1,17,"4",59,"6223200","\N","\N"
"14113",233,37,6,"5",59,"6228720","\N","\N"
"14114",187,67,8,"6",59,"6228932","\N","\N"
"14115",223,6,14,"7",58,"\N","\N","\N"
"14116",178,63,18,"8",58,"\N","\N","\N"
"14117",224,56,15,"9",57,"\N","\N","\N"
"14118",197,58,16,"10",57,"\N","\N","\N"
"14119",239,63,24,"11",57,"\N","\N","\N"
"14120",237,64,22,"12",57,"\N","\N","\N"
"14121",229,64,21,"13",54,"\N","\N","\N"
"14122",286,59,23,"14",54,"\N","\N","\N"
"14123",280,63,26,"\N",48,"\N","\N","\N"
"14124",252,58,9,"\N",45,"\N","\N","\N"
"14125",230,37,12,"\N",34,"\N","\N","\N"
"14126",172,27,4,"\N",34,"\N","\N","\N"
"14127",250,204,10,"\N",31,"\N","\N","\N"
"14128",256,204,13,"\N",30,"\N","\N","\N"
"14129",207,32,11,"\N",23,"\N","\N","\N"
"14130",235,57,19,"\N",14,"\N","\N","\N"
"14131",255,32,20,"\N",13,"\N","\N","\N"
"14132",238,37,3,"\N",12,"\N","\N","\N"
"14133",232,59,25,"\N",9,"\N","\N","\N"
"14134",221,25,7,"\N",7,"\N","\N","\N"
"14135",285,25,0,"\N",0,"\N","\N","\N"
"14136",207,32,1,"1",73,"6238860","\N","\N"
"14137",221,25,13,"2",72,"\N","\N","\N"
"14138",231,1,2,"3",72,"\N","\N","\N"
"14139",178,63,20,"4",72,"\N","\N","\N"
"14140",223,6,7,"5",72,"\N","\N","\N"
"14141",255,32,16,"6",72,"\N","\N","\N"
"14142",172,27,11,"7",72,"\N","\N","\N"
"14143",229,64,22,"8",72,"\N","\N","\N"
"14144",274,63,24,"9",70,"\N","\N","\N"
"14145",197,58,15,"10",69,"\N","\N","\N"
"14146",287,72,10,"11",66,"\N","\N","\N"
"14147",222,25,5,"\N",58,"\N","\N","\N"
"14148",246,59,25,"\N",49,"\N","\N","\N"
