"","driverId","constructorId","grid","position","laps","milliseconds","rank","maxSpeed"
"23970",825,210,7,9,52,5282972,12,226.567
"23971",815,10,12,10,52,5284492,9,226.887
"23972",838,1,17,11,52,5285558,11,226.695
"23973",840,3,19,12,52,5287890,15,225.927
"23974",842,5,14,13,52,5288913,8,226.904
"23975",845,3,18,14,52,5297897,18,224.134
"23983",1,131,14,1,67,5549845,1,217.968
"23984",822,131,2,2,67,5554380,2,217.461
"23985",8,6,3,3,67,5556577,4,216.691
"23986",830,9,4,4,67,5557499,3,217.085
"23987",807,4,7,5,67,5576454,16,211.351
"23988",154,210,6,6,67,5578716,5,214.641
"23989",815,10,10,7,67,5580401,15,211.468
"23990",839,10,15,8,67,5581595,17,211.267
"23991",828,15,13,9,67,5582207,12,211.8
"23992",843,5,17,10,67,5584042,9,211.974
"23993",825,210,5,11,67,5584764,10,211.93
"23994",832,4,8,12,67,5592914,7,212.661
"23995",838,1,19,13,67,5596462,8,212.368
"24003",1,131,1,1,70,5836427,4,194.454
"24004",20,6,4,2,70,5853550,2,197.007
"24005",8,6,3,3,70,5856528,3,196.428
"24006",817,9,12,4,70,5882846,1,197.115
"24007",822,131,2,5,70,5886427,8,192.957
"24008",842,5,6,6,70,5909700,7,193.078
"24023",20,6,2,1,44,5014476,2,236.435
"24024",1,131,1,2,44,5025537,3,236.264
"24025",830,9,7,3,44,5045848,4,235.767
"24026",822,131,19,4,44,5078081,1,237.231
"24027",815,10,4,5,44,5085499,7,233.293
"24028",839,10,3,6,44,5093996,6,233.298
"24029",154,210,5,7,44,5100429,8,232.856
"24030",825,210,9,8,44,5102115,5,233.602
"24031",842,5,10,9,44,5120368,9,232.202
"24043",1,131,3,1,53,4614484,1,252.794
"24044",8,6,1,2,53,4623189,4,249.713
"24045",822,131,4,3,53,4628550,3,251.544
"24046",20,6,2,4,53,4630635,2,252.77
"24047",830,9,5,5,53,4632692,6,249.432
"24048",839,10,8,7,53,4672245,12,247.555
"24049",815,10,14,8,53,4673162,11,247.743
"24050",832,4,7,9,53,4692624,5,249.671
"24063",1,131,1,1,61,6671611,2,177.108
"24064",830,9,2,2,61,6680572,5,176.368
"24065",20,6,3,3,61,6711595,6,174.137
"24066",822,131,4,4,61,6723541,8,174.052
"24067",8,6,5,5,61,6724612,7,174.061
"24068",817,9,6,6,61,6725593,3,176.753
"24069",4,1,11,7,61,6774612,4,176.677
"24083",1,131,2,1,53,5245181,2,219.492
"24084",822,131,1,2,53,5247726,1,219.617
"24085",20,6,3,3,53,5252668,3,219.322
"24086",8,6,4,4,53,5261724,6,217.913
"24087",830,9,19,5,53,5276197,4,218.655
"24088",817,9,18,6,53,5325632,5,218.514
"24089",844,15,7,7,53,5343571,9,214.59
"24103",1,131,1,1,53,5237062,2,225.307
"24104",822,131,2,2,53,5249981,3,224.521
"24105",830,9,3,3,53,5251357,6,223.903
"24106",817,9,15,4,53,5256557,4,224.336
"24107",8,6,4,5,53,5288060,12,221.869
"24108",20,6,8,6,53,5306935,1,226.447
"24109",815,10,9,7,53,5316441,9,222.223
"24110",154,210,5,8,53,5324260,15,220.551
"24111",839,10,11,9,53,5325117,14,220.821
"24123",8,6,2,1,56,5658643,5,201.527
"24124",830,9,18,2,56,5659924,2,202.011
"24125",1,131,1,3,56,5660985,1,203.782
"24126",20,6,5,4,56,5676865,3,201.941
"24127",822,131,3,5,56,5683387,4,201.551
"24128",807,4,7,6,56,5745853,8,199.369
"24129",832,4,11,7,56,5753637,11,198.75
"24130",815,10,10,8,56,5759723,13,198.483
"24143",830,9,2,1,71,5908851,2,195.67
"24144",20,6,4,2,71,5926167,4,194.844
"24145",8,6,6,3,71,5958765,5,192.874
"24146",1,131,3,4,71,5987589,8,191.933
"24163",1,131,1,1,71,5229066,7,216.065
"24164",830,9,5,2,71,5230535,4,216.72
"24165",8,6,4,3,71,5233830,6,216.143
"24166",817,9,11,4,71,5234259,3,217.434
"24167",822,131,3,5,71,5252009,1,219.909
"24168",20,6,2,6,71,5256063,2,219.005
"24169",844,15,7,7,71,5273265,8,215.204
"24170",154,210,8,8,71,5280296,12,214.372
"24171",825,210,10,9,71,5281923,10,214.835
"24183",1,131,1,1,55,5980382,5,197.267
"24184",20,6,3,2,55,5982963,1,198.225
"24185",830,9,6,3,55,5993088,6,196.198
"24186",817,9,5,4,55,5995761,3,197.477
"24187",822,131,2,5,55,6028339,2,198.056
"24188",832,4,11,6,55,6052930,4,197.278
"24189",844,15,8,7,55,6071171,10,194.354
"24190",815,10,14,8,55,6071657,8,194.467
"24203",822,131,2,1,58,5127325,1,223.075
"24204",1,131,1,2,58,5148211,2,221.839
"24205",830,9,4,3,58,5149845,3,221.327
"24206",20,6,3,4,58,5184434,8,217.054
"24207",844,6,5,5,58,5185528,4,219.621
"24208",825,210,7,6,58,5214481,9,216.493
"24223",1,131,3,1,57,5661295,2,208.314
"24224",822,131,4,2,57,5664275,3,206.808
"24225",844,6,1,3,57,5667426,1,208.575
"24226",830,9,5,4,57,5667703,9,204.417
"24227",20,6,2,5,57,5697363,4,205.313
"24228",846,1,9,6,57,5707049,12,203.422
"24229",8,51,8,7,57,5708765,11,203.822
"24230",842,9,13,8,57,5719389,8,204.46
"24231",848,5,12,9,57,5723992,16,201.372
"24232",815,211,14,10,57,5724991,14,202.254
"24233",841,51,16,11,57,5725894,7,204.575
"24243",1,131,2,1,56,5526350,5,204.642
"24244",822,131,1,2,56,5532902,4,206.842
"24245",20,6,3,3,56,5540124,2,206.921
"24246",830,9,5,4,56,5553977,6,204.108
"24247",844,6,4,5,56,5557626,3,206.869
"24248",842,9,6,6,56,5615657,1,207.126
"24263",822,131,1,1,51,5512942,2,207.748
"24264",1,131,2,2,51,5514466,3,207.465
"24265",20,6,3,3,51,5524681,4,206.546
"24266",830,9,4,4,51,5530435,5,206.221
"24267",844,6,8,5,51,5582049,1,209.795
"24268",815,211,5,6,51,5589358,7,204.795
"24269",832,1,9,7,51,5596768,10,204.247
"24270",846,1,7,8,51,5613210,6,205.047
"24271",840,211,13,9,51,5616758,12,203.858
"24283",1,131,2,1,66,5750443,1,213.499
"24284",822,131,1,2,66,5754517,2,212.835
"24285",830,9,4,3,66,5758122,3,210.081
"24286",20,6,3,4,66,5759610,4,209.947
"24287",844,6,5,5,66,5763804,5,209.469
"24288",842,9,6,6,66,5770019,6,208.08
"24289",825,210,8,7,66,5778602,9,207.478
"24290",832,1,12,8,66,5782785,10,207.249
"24291",826,5,9,9,66,5783499,8,207.591
"24292",154,210,7,10,66,5785084,12,206.743
"24293",848,5,11,11,66,5785888,11,206.817
"24294",817,4,13,12,66,5787201,7,207.876
"24295",807,4,0,13,66,5789684,13,206.171
"24296",8,51,14,14,66,5792246,14,205.917
"24297",815,211,15,15,66,5797320,16,204.717
"24298",841,51,18,16,66,5798134,15,204.782
"24306",1,131,1,1,78,6208437,6,157.721
"24307",20,6,4,2,78,6211039,9,157.494
"24308",822,131,2,3,78,6211599,2,159.828
"24309",830,9,3,4,78,6213974,7,157.593
"24310",842,9,8,5,78,6218383,1,161.73
"24311",832,1,9,6,78,6261891,5,158.295
"24312",826,5,7,7,78,6263011,10,157.471
"24313",848,5,10,8,78,6263637,3,158.89
"24314",817,4,6,9,78,6269331,4,158.701
"24315",154,210,13,10,78,6269471,16,156.531
"24316",846,1,12,11,78,6275238,13,157.214
"24326",1,131,2,1,70,5347084,4,209.851
"24327",20,6,1,2,70,5350742,5,209.677
"24328",844,6,3,3,70,5351780,2,211.14
"24329",822,131,6,4,70,5398127,1,214.833
"24330",830,9,9,5,70,5404739,3,209.98
"24346",1,131,1,1,53,5071198,2,226.717
"24347",822,131,2,2,53,5089254,3,224.725
"24348",844,6,3,3,53,5090183,4,224.146
"24349",830,9,4,4,53,5106103,5,223.351
"24350",20,6,7,5,53,5133994,1,226.775
"24351",832,1,6,6,53,5166660,6,222.408
"24366",830,9,2,1,71,4921822,1,230.378
"24367",844,6,1,2,71,4924546,3,228.62
"24368",822,131,3,3,71,4940782,7,226.716
"24369",20,6,9,4,71,4941432,2,229.694
"24370",1,131,4,5,71,4944627,5,228.432
"24386",1,131,2,1,52,4868452,1,242.735
"24387",822,131,1,2,52,4893380,2,242.633
"24388",844,6,3,3,52,4898569,5,237.452
"24389",842,9,5,4,52,4903144,8,236.839
"24390",830,9,4,5,52,4907910,4,237.561
"24391",832,1,13,6,52,4922091,11,236.277
"24392",817,4,7,7,52,4922853,9,236.628
"24393",8,51,12,8,52,4933992,14,235.551
"24394",826,5,17,9,52,4935172,12,235.875
"24395",807,4,10,10,52,4941185,13,235.773
"24396",846,1,8,11,52,4942733,10,236.596
"24397",848,5,9,12,52,4944069,15,233.378
"24398",840,211,18,13,52,4949538,6,237.248
"24406",830,9,2,1,64,6271275,1,214.839
"24407",20,6,20,2,64,6278608,2,214.423
"24408",826,5,14,3,64,6279580,6,211.9
"24409",840,211,15,4,64,6280241,8,211.566
"24410",832,1,7,5,64,6280858,9,211.538
"24411",848,5,16,6,64,6281327,10,211.514
"24412",154,210,6,7,64,6288113,7,211.797
"24413",825,210,12,8,64,6290040,5,212.45
"24414",1,131,1,9,64,6290942,12,208.935
"24415",9,3,18,10,64,6296262,13,208.271
"24416",847,3,17,11,64,6297679,3,212.51
"24417",8,51,5,12,64,6313489,15,206.96
"24418",841,51,11,13,64,6315124,14,207.646
"24426",1,131,3,1,70,5703796,2,200.84
"24427",830,9,1,2,70,5721592,1,204.552
"24428",20,6,5,3,70,5765229,4,197.673
"24429",844,6,4,4,70,5769046,5,195.937
"24446",844,6,1,1,44,5025710,4,236.39
"24447",1,131,3,2,44,5026691,3,236.577
"24448",822,131,4,3,44,5038295,2,236.832
"24449",20,6,2,4,44,5052132,1,236.957
"24450",848,9,17,5,44,5107035,5,234.537
"24451",815,211,7,6,44,5110158,13,231.79
"24452",826,5,19,7,44,5115367,7,233.157
"24453",807,4,12,8,44,5132349,9,232.714
"24454",842,5,13,9,44,5134878,17,229.848
"24455",840,211,16,10,44,5135548,10,232.697
"24466",844,6,1,1,53,4526665,4,251.235
"24467",822,131,3,2,53,4527500,3,251.69
"24468",1,131,2,3,53,4561864,1,255.014
"24469",817,4,5,4,53,4572180,7,249.859
"24470",807,4,6,5,53,4584830,8,249.337
"24471",848,9,8,6,53,4585980,6,250.165
"24472",815,211,18,7,53,4600467,9,248.953
"24473",830,9,19,8,53,4601157,5,250.83
"24486",20,6,3,1,61,7113667,5,173.916
"24487",844,6,1,2,61,7116308,4,174.047
"24488",830,9,4,3,61,7117488,8,173.298
"24489",1,131,2,4,61,7118275,7,173.73
"24490",822,131,5,5,61,7119786,2,176.046
"24491",848,9,6,6,61,7125330,9,173.159
"24492",846,1,9,7,61,7128436,11,172.412
"24493",842,5,11,8,61,7129214,13,172.326
"24494",807,4,8,9,61,7130385,12,172.333
"24495",841,51,10,10,61,7141522,10,172.553
"24496",154,210,17,11,61,7149103,16,171.507
"24497",832,1,7,12,61,7149641,15,172.001
"24498",840,211,16,13,61,7150086,6,173.76
"24499",817,4,20,14,61,7151327,14,172.088
"24500",826,5,14,15,61,7151845,3,174.634
"24501",9,3,19,16,61,7160691,18,170.674
"24502",825,210,13,17,61,7200189,1,178.168
"24506",1,131,2,1,53,5618992,1,219.847
"24507",822,131,4,2,53,5622821,3,218.58
"24508",844,6,1,3,53,5624204,2,218.86
"24509",830,9,9,4,53,5633202,5,217.18
"24510",848,9,0,5,53,5657340,4,217.573
"24511",832,1,5,6,53,5664881,6,214.78
"24512",815,211,11,7,53,5667720,7,214.73
"24513",846,1,7,8,53,5676741,11,214.166
"24514",825,210,13,9,53,5677771,8,214.539
"24515",807,4,6,10,53,5678833,12,213.692
"24516",840,211,14,11,53,5679813,15,213.493
"24517",826,5,19,12,53,5681488,9,214.325
"24518",8,51,15,13,53,5687902,13,213.541
"24519",842,5,16,14,53,5689068,14,213.504
"24520",841,51,12,15,53,5692338,16,213.309
"24526",822,131,3,1,52,4906755,4,227.571
"24527",20,6,1,2,52,4920098,5,226.929
"24528",1,131,4,3,52,4920613,1,229.77
"24529",848,9,6,4,52,4966292,8,225.332
"24530",832,1,7,5,52,4975856,12,223.434
"24546",1,131,3,1,71,5808904,4,194.993
"24547",20,6,2,2,71,5810670,3,195.19
"24548",822,131,6,3,71,5812457,5,194.912
"24549",844,6,1,4,71,5815272,1,195.557
"24550",848,9,5,5,71,5830303,2,195.328
"24551",830,9,4,6,71,5877711,11,192.702
"24552",815,211,11,7,71,5882723,12,192.512
"24553",817,4,13,8,71,5883828,9,193.327
"24566",822,131,1,1,56,5635653,2,204.696
"24567",1,131,5,2,56,5639801,7,201.6
"24568",830,9,3,3,56,5640655,5,202.077
"24569",844,6,4,4,56,5687892,1,206.374
"24570",848,9,6,5,56,5713691,3,202.458
"24571",817,4,9,6,56,5726019,14,197.354
"24572",846,1,8,7,56,5726417,4,202.365
"24586",830,9,1,1,71,5594678,2,218.909
"24587",842,5,6,2,71,5600755,9,214.185
"24588",832,1,20,3,71,5603574,16,212.039
"24589",8,51,8,4,71,5604130,15,212.106
"24590",841,51,12,5,71,5604879,14,212.44
"24591",817,4,11,6,71,5605219,11,213.278
"24592",1,131,3,7,71,5605817,3,218.232
"24593",846,1,10,8,71,5605882,7,214.472
"24594",815,211,15,9,71,5606207,12,212.965
"24595",826,5,16,10,71,5606609,8,214.304
"24596",825,210,9,11,71,5607410,17,211.738
"24597",847,3,18,12,71,5608277,19,210.331
"24598",154,210,7,13,71,5608925,18,210.711
"24599",848,9,5,14,71,5609605,4,218.217
"24600",807,4,13,15,71,5612737,13,212.69
"24606",1,131,1,1,55,5645715,1,201.387
"24607",830,9,2,2,55,5662487,5,197.731
"24608",844,6,3,3,55,5689150,4,199.064
"24609",822,131,20,4,55,5690094,2,200.515
"24610",20,6,4,5,55,5710072,3,199.688
"24611",848,9,5,6,55,5714920,8,195.603
