"","driverId","constructorId","grid","position","laps","milliseconds","rank","maxSpeed"
"23028",817,9,1,2,78,7176385,3,153.437
"23029",815,10,7,3,78,7182958,4,153.139
"23030",20,6,4,4,78,7184979,2,154.005
"23031",4,1,9,5,78,7254209,8,151.739
"23032",807,10,5,6,78,7262132,11,151.62
"23033",3,131,2,7,78,7262423,6,152.523
"23049",1,131,1,1,70,5465296,2,206.625
"23050",20,6,3,2,70,5470307,3,205.769
"23051",822,3,7,3,70,5511718,10,204.055
"23052",830,9,5,4,70,5518316,4,205.71
"23053",3,131,2,5,70,5527389,1,207.669
"23054",8,6,6,6,70,5528313,9,204.105
"23055",817,9,4,7,70,5528930,5,205.207
"23071",3,131,1,1,51,5572366,1,202.946
"23072",20,6,3,2,51,5589062,5,201.917
"23073",815,10,7,3,51,5597607,4,201.988
"23074",8,6,4,4,51,5605468,6,201.629
"23075",1,131,10,5,51,5628701,2,202.306
"23076",822,3,8,6,51,5633252,9,200.836
"23077",817,9,2,7,51,5641595,12,200.59
"23078",830,9,9,8,51,5643062,3,202.021
"23079",807,10,12,9,51,5650074,15,200.077
"23080",13,3,5,10,51,5657741,13,200.543
"23081",18,1,19,11,51,5677183,10,200.802
"23093",1,131,1,1,71,5258107,1,227.647
"23094",830,9,8,2,71,5263826,5,223.7
"23095",8,6,4,3,71,5264131,4,226.11
"23096",3,131,6,4,71,5274817,2,227.381
"23097",817,9,5,5,71,5289088,3,226.459
"23098",18,1,3,6,71,5295813,9,222.476
"23099",154,210,13,7,71,5302775,8,222.718
"23100",832,5,15,8,71,5305507,11,222.042
"23115",1,131,1,1,52,5695831,3,221.44
"23116",830,9,3,2,52,5704081,6,219.979
"23117",3,131,2,3,52,5712742,1,221.957
"23118",817,9,4,4,52,5722042,4,220.882
"23119",8,6,5,5,52,5765574,8,218.648
"23120",815,10,10,6,52,5772772,15,216.625
"23121",807,10,8,7,52,5773543,11,217.25
"23122",832,5,7,8,52,5781689,10,217.734
"23123",20,6,11,9,52,5787485,7,218.786
"23124",826,5,15,10,52,5788431,13,217.141
"23137",1,131,2,1,70,6030115,3,188.095
"23138",3,131,1,2,70,6032092,2,188.497
"23139",817,9,3,3,70,6057654,5,186.407
"23140",20,6,5,4,70,6058328,4,186.904
"23141",830,9,4,5,70,6078774,7,186.234
"23142",8,6,14,6,70,6079159,1,189.822
"23159",1,131,2,1,67,5444200,3,209.107
"23160",817,9,3,2,67,5451196,1,209.918
"23161",830,9,4,3,67,5457613,4,208.673
"23162",3,131,1,4,67,5460045,5,208.114
"23163",20,6,6,5,67,5476770,2,209.203
"23164",8,6,5,6,67,5481223,6,206.937
